City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,kirakira,-10.4544,161.9205,302.42,69,83,2.44,SB,1698357304
288,dunhua,43.3725,128.2425,271.41,45,1,1.03,CN,1698357304
289,wanning,18.8003,110.3967,297.9,92,79,0.97,CN,1698357305
290,al majaridah,19.1236,41.9111,301.43,59,100,0.56,SA,1698357305
291,maqat,47.65,53.3167,275.67,79,100,8.76,KZ,1698357306
292,kilju,40.9642,129.3278,280.27,53,86,1.72,KP,1698357306
293,nsanje,-16.92,35.262,298.65,80,38,3.2,MW,1698357306
294,decatur,39.8403,-88.9548,294.07,94,100,4.12,US,1698357254
295,bobo-dioulasso,11.1771,-4.2979,299.4,73,20,2.06,BF,1698357307
296,yanbu,24.0891,38.0637,303.17,51,0,2.06,SA,1698357308
297,san antonio de pale,-1.4014,5.6325,299.02,85,90,3.79,GQ,1698357308
298,yung shue wan,22.2333,114.1167,298.53,83,78,3.77,HK,1698357308
299,loango,-4.6719,11.8312,298.32,87,89,3.25,CG,1698357309
300,vilyuysk,63.7553,121.6247,264.91,87,100,2.31,RU,1698357309
301,khagaria,25.5,86.4833,293.45,61,0,2.62,IN,1698357132
302,sergeyevka,53.88,67.4158,270.29,72,7,5.77,KZ,1698357310
303,afaahiti,-17.75,-149.2833,301.08,88,100,2.25,PF,1698357310
304,dhuusamarreeb,5.535,46.3861,299.46,73,50,4.87,SO,1698357311
305,labrador city,52.9463,-66.9114,272.1,64,100,6.69,CA,1698357311
306,zacatecas,23.0,-103.0,293.43,42,92,3.63,MX,1698357140
307,thunder bay,48.4001,-89.3168,277.14,93,100,3.09,CA,1698357073
308,conception bay south,47.4999,-52.9981,283.4,92,98,2.02,CA,1698357258
309,cabo san lucas,22.8909,-109.9124,301.58,50,0,2.06,MX,1698357202
310,tucuma,-0.1833,-50.05,300.7,68,10,4.39,BR,1698357312
311,tafuna,-14.3358,-170.72,302.12,74,40,6.69,AS,1698357313
312,gorontalo,0.5412,123.0595,295.74,74,81,0.88,ID,1698357313
313,brandon,27.9378,-82.2859,303.17,62,0,4.12,US,1698357000
314,alappuzha,9.49,76.3264,299.34,82,98,1.85,IN,1698357314
315,forster,-32.1667,152.5167,291.64,60,100,8.5,AU,1698357314
316,lamu,-2.2717,40.902,299.08,86,24,4.5,KE,1698357314
317,aral,40.5156,81.2636,287.33,25,94,2.35,CN,1698357315
318,bukama,-9.2,25.85,295.4,89,100,1.48,CD,1698357315
319,kanniyakumari,8.0833,77.5667,300.29,77,57,3.72,IN,1698357315
320,boca suno,-0.7167,-77.1333,301.92,61,89,0.37,EC,1698357316
321,nichinan,31.6,131.3667,289.97,71,26,2.54,JP,1698357316
322,at taj,24.2049,23.2857,295.74,26,100,3.55,LY,1698357317
323,ampanihy,-24.7,44.75,291.45,72,22,3.58,MG,1698357317
324,sur,22.5667,59.5289,300.21,65,19,1.36,OM,1698357317
325,palwancha,17.5815,80.6765,292.68,65,2,1.06,IN,1698357318
326,tazacorte,28.629,-17.9293,295.69,77,20,3.13,ES,1698357318
327,akureyri,65.6835,-18.0878,269.11,93,0,0.0,IS,1698357318
328,burutu,5.3509,5.5076,298.92,85,98,2.13,NG,1698357318
329,tshabong,-26.05,22.45,300.24,10,41,3.62,BW,1698357319
330,chegdomyn,51.1167,133.0167,268.61,87,11,1.5,RU,1698357319
331,byron bay,-28.65,153.6167,288.54,91,100,9.42,AU,1698357320
332,arraial do cabo,-22.9661,-42.0278,296.13,88,75,3.09,BR,1698357320
333,hukumati azrah,34.1736,69.6457,282.2,50,19,0.84,AF,1698357320
334,pisco,-13.7,-76.2167,293.18,83,100,3.09,PE,1698357321
335,copiapo,-27.3667,-70.3333,286.98,44,0,3.39,CL,1698357321
336,lianjiang,21.6467,110.2817,295.57,88,15,1.96,CN,1698357322
337,tahe,52.3333,124.7333,271.23,44,100,1.4,CN,1698357322
338,inhambane,-23.865,35.3833,293.73,69,0,3.29,MZ,1698357323
339,westport,41.1415,-73.3579,297.0,63,0,2.57,US,1698357323
340,trapani,37.8333,12.6667,294.2,94,40,3.09,IT,1698357323
341,khash,28.2211,61.2158,293.93,38,100,1.51,IR,1698357324
342,kingsland,30.8,-81.6898,299.11,72,65,2.8,US,1698357114
343,darazo,10.9938,10.4118,296.47,22,11,0.62,NG,1698357325
344,inderbor,48.55,51.7833,273.12,99,100,8.85,KZ,1698357325
345,lu-uk,5.9684,121.3122,299.43,83,79,1.22,PH,1698357326
346,tutoia,-2.7619,-42.2744,299.45,78,16,5.54,BR,1698357326
347,kashgar,39.4547,75.9797,284.71,32,0,4.0,CN,1698357313
348,chimore,-16.9833,-65.1333,301.58,67,99,1.3,BO,1698357327
349,kununurra,-15.7667,128.7333,302.14,16,64,4.63,AU,1698357327
350,jayapura,-2.5333,140.7,297.81,92,99,1.97,ID,1698357327
351,pieksamaki,62.3,27.1333,269.63,90,23,2.09,FI,1698357328
352,codrington,-38.2667,141.9667,283.91,67,15,3.57,AU,1698357328
353,khovd,48.0056,91.6419,279.08,30,99,3.86,MN,1698357328
354,el nido,11.1858,119.3956,300.77,80,78,2.27,PH,1698357328
355,novoderevyankovskaya,46.3231,38.7472,288.42,94,100,2.96,RU,1698357329
356,agat village,13.3886,144.6585,302.24,91,0,2.06,GU,1698357329
357,crucecita,-28.95,-58.9833,292.15,76,13,3.22,AR,1698357329
358,hacienda huancane,-15.8222,-70.8856,282.03,41,100,9.01,PE,1698357329
359,kuqa,41.7278,82.9364,285.95,33,94,1.84,CN,1698357330
360,walvis bay,-22.9575,14.5053,288.68,88,26,1.03,NA,1698357330
361,roghun,38.7826,69.8708,282.69,80,74,2.97,TJ,1698357330
362,agadez,19.75,10.25,297.92,15,2,2.4,NE,1698357331
